,Bus_Name,Bus_type,from,to,pickup_time,drop_time,duration,prices,ratings,AC_type,Seater,semi_sleeper,sleeper
352,Kallada Travels (Suresh Kallada) ,A/C Sleeper (2+1),HYD,BLR,17:10,02:40,09,1400,2.8,A/C,no,no,yes
353,Meghana Travels ,A/C Seater / Sleeper (2+1),HYD,BLR,22:55,08:35,09,3000,2.6,A/C,yes,no,yes
354,SRS Travels ,Mercedes Multi-Axle Semi Sleeper (2+2),HYD,BLR,22:30,06:40,08,670,3.0,A/C,no,yes,no
355,IntrCity SmartBus ,Scania AC Multi Axle Sleeper (2+1),HYD,BLR,23:55,10:50,10,1110,4.4,A/C,no,no,yes
356,Northern Travels ,A/C Sleeper (2+1),HYD,BLR,23:15,10:00,10,1249,2.8,A/C,no,no,yes
357,National  travels ,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),HYD,BLR,19:40,06:30,10,1555,3.6,A/C,no,no,yes
358,Tranzindia Travels ,Bharat Benz A/C Sleeper (2+1),HYD,BLR,23:00,07:35,08,1500,2.7,A/C,no,no,yes
359,National  travels ,A/C Sleeper (2+1),HYD,BLR,23:40,08:45,09,1550,2.9,A/C,no,no,yes
360,Kaleswari Travels ,Non A/C Seater / Sleeper (2+1),HYD,BLR,21:00,08:35,11,649,2.6,NON A/C,yes,no,yes
361,Northern Travels ,A/C Sleeper (2+1),HYD,BLR,23:15,10:00,10,1249,2.4,A/C,no,no,yes
362,YAS TOURS AND TRAVELS ,Volvo A/C Semi Sleeper (2+2),HYD,BLR,14:30,23:40,09,900,3.3,A/C,no,yes,no
363,Venture transport services ,A/C Sleeper (2+1),HYD,BLR,21:05,07:10,10,1399,4.0,A/C,no,no,yes
364,Sri Tulasi Tours and Travels ,A/C Sleeper (2+1),HYD,BLR,16:10,03:40,11,1799,3.4,A/C,no,no,yes
365,Orange Tours And Travels ,A/C Sleeper (2+1),HYD,BLR,23:15,08:50,09,1200,2.8,A/C,no,no,yes
366,Northern Travels ,A/C Sleeper (2+1),HYD,BLR,00:20,10:45,10,1900,2.4,A/C,no,no,yes
367,Morning Star Travels ,A/C Sleeper (2+1),HYD,BLR,12:45,22:40,09,1190,1.7,A/C,no,no,yes
368,Tranzindia Travels ,Bharat Benz A/C Sleeper (2+1),HYD,BLR,22:50,08:00,09,2450,2.5,A/C,no,no,yes
369,Northern Travels ,Bharat Benz A/C Seater /Sleeper (2+1),HYD,BLR,23:15,10:00,10,875,1.7,A/C,yes,no,yes
370,Northern Travels ,Bharat Benz A/C Seater /Sleeper (2+1),HYD,BLR,00:10,10:30,10,3000,1.3,A/C,yes,no,yes
371,Manikanta Travels ,A/C Sleeper (2+1),HYD,BLR,23:00,07:15,08,999,3.9,A/C,no,no,yes
372,JaiSai Roadlinks (JSR) ,VE Executive A/C Sleeper (1+1),HYD,BLR,21:30,07:15,09,1750,3.8,A/C,no,no,yes
373,ABT Express ,A/C Sleeper (2+1),HYD,BLR,23:00,08:25,09,2500,3.3,A/C,no,no,yes
374,Orange Tours And Travels ,Volvo 9600 Multi-Axle A/C Sleeper (2+1),HYD,BLR,17:05,03:05,10,1300,3.0,A/C,no,no,yes
375,Bmcc Travels ,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),HYD,BLR,22:05,08:10,10,1799,3.0,A/C,no,no,yes
376,Bmcc Travels ,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),HYD,BLR,20:40,07:30,10,1799,3.0,A/C,no,no,yes
377,Meghana Travels ,A/C Sleeper (2+1),HYD,BLR,22:55,08:35,09,3000,1.8,A/C,no,no,yes
378,VRL Travels ,Volvo 9600 Multi-Axle A/C Sleeper (2+1),HYD,BLR,22:45,06:30,07,1300,3.0,A/C,no,no,yes
379,VRL Travels ,A/C Sleeper (2+1),HYD,BLR,21:00,07:15,10,1000,1.9,A/C,no,no,yes
380,VRL Travels ,A/C Sleeper (2+1),HYD,BLR,20:00,07:30,11,1200,3.2,A/C,no,no,yes
381,VRL Travels ,NON A/C Sleeper (2+1),HYD,BLR,23:30,07:30,08,1000,4.3,NON A/C,no,no,yes
382,VRL Travels ,NON A/C Sleeper (2+1),HYD,BLR,21:45,06:30,08,900,3.5,NON A/C,no,no,yes
384,KMRL Kalaimakal ,A/C Seater / Sleeper (2+1),BLR,CHN,22:15,05:00,06,640,4.8,A/C,yes,no,yes
385,V2K Travels ,A/C Sleeper (2+1),BLR,CHN,22:00,04:50,06,800,4.7,A/C,no,no,yes
386,Jabbar  Travels ,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),BLR,CHN,23:15,05:25,06,500,4.6,A/C,no,yes,no
387,AdIntrCity SmartBus ,A/C Seater / Sleeper (2+1),BLR,CHN,23:05,06:10,07,607,4.1,A/C,yes,no,yes
388,KMRL Kalaimakal ,A/C Sleeper (2+1),BLR,CHN,22:00,04:45,06,850,4.7,A/C,no,no,yes
389,IntrCity SmartBus ,A/C Seater / Sleeper (2+1),BLR,CHN,23:15,06:30,07,591,4.6,A/C,yes,no,yes
390,KMRL Kalaimakal ,A/C Sleeper (2+1),BLR,CHN,22:30,05:15,06,800,4.7,A/C,no,no,yes
391,SPS Travels ,A/C Sleeper (2+1),BLR,CHN,22:15,05:00,06,814,4.6,A/C,no,no,yes
392,Jabbar  Travels ,VE A/C Sleeper (2+1),BLR,CHN,11:30,18:45,07,552,4.6,A/C,no,no,yes
393,SPS Travels ,A/C Sleeper (2+1),BLR,CHN,22:35,05:25,06,700,4.5,A/C,no,no,yes
394,IntrCity SmartBus ,AC Sleeper (2+1),BLR,CHN,23:40,07:10,07,664,4.6,A/C,no,no,yes
395,Highline Transports ,VE A/C Sleeper (2+1),BLR,CHN,21:50,04:40,06,660,4.5,A/C,no,no,yes
396,IntrCity SmartBus ,A/C Seater / Sleeper (2+1),BLR,CHN,22:15,05:20,07,675,4.5,A/C,yes,no,yes
397,NWAY HOLIDAYS ,A/C Sleeper (2+1),BLR,CHN,22:55,06:25,07,699,4.7,A/C,no,no,yes
398,GreenLine Travels And  Holidays ,VE A/C Sleeper (2+1),BLR,CHN,23:15,05:00,05,900,4.5,A/C,no,no,yes
399,Jabbar  Travels ,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),BLR,CHN,12:30,20:00,07,452,4.5,A/C,no,yes,no
400,GRS Travels ,A/C Sleeper (2+1),BLR,CHN,22:00,05:00,07,750,4.5,A/C,no,no,yes
401,SPS Travels ,A/C Sleeper (2+1),BLR,CHN,23:00,05:50,06,700,4.4,A/C,no,no,yes
402,IntrCity SmartBus ,AC Sleeper (2+1),BLR,CHN,22:50,06:15,07,608,4.5,A/C,no,no,yes
403,IntrCity SmartBus ,AC Sleeper (2+1),BLR,CHN,21:10,04:00,06,718,4.5,A/C,no,no,yes
404,SPS Travels ,A/C Sleeper (2+1),BLR,CHN,22:55,05:35,06,700,4.4,A/C,no,no,yes
405,VHB Travels ,A/C Sleeper (2+1),BLR,CHN,23:00,06:15,07,1100,4.4,A/C,no,no,yes
406,Jabbar  Travels ,VE A/C Sleeper (2+1),BLR,CHN,22:30,04:30,06,700,4.4,A/C,no,no,yes
407,UST Bus ,A/C Sleeper (2+1),BLR,CHN,23:15,05:15,06,836,4.4,A/C,no,no,yes
408,Yolo Bus ,A/C Sleeper (2+1),BLR,CHN,23:35,06:04,06,699,4.3,A/C,no,no,yes
409,IntrCity SmartBus ,AC Sleeper (2+1),BLR,CHN,22:30,05:50,07,691,4.4,A/C,no,no,yes
410,KGN INDIA ,NON A/C Seater (1+1+1),BLR,CHN,23:05,05:50,06,1000,4.3,NON A/C,yes,no,no
411,GEE PEE TRAVELS ,VE A/C Sleeper (2+1),BLR,CHN,23:35,06:15,06,590,4.3,A/C,no,no,yes
412,IntrCity SmartBus ,A/C Seater / Sleeper (2+1),BLR,CHN,21:45,06:30,08,586,4.3,A/C,yes,no,yes
413,Sri Sugam Bus Tours and Travels ,A/C Sleeper (2+1),BLR,CHN,23:45,07:00,07,749,4.4,A/C,no,no,yes
414,Green Line Travels And Holidays Premium Business Class ,VE Executive A/C Sleeper (1+1),BLR,CHN,23:00,05:00,06,1400,4.6,A/C,no,no,yes
415,Yolo Bus ,A/c sleeper (2+1),BLR,CHN,23:40,06:34,06,699,4.3,A/C,no,no,no
416,RKK Travels ,Volvo Multi-Axle A/C Semi Sleeper (2+2),BLR,CHN,15:00,21:15,06,595,4.3,A/C,no,yes,no
417,IntrCity SmartBus ,AC Sleeper (2+1),BLR,CHN,22:15,05:45,07,665,4.3,A/C,no,no,yes
418,RKK Travels ,Volvo Multi-Axle A/C Semi Sleeper (2+2),BLR,CHN,16:00,22:45,06,595,4.3,A/C,no,yes,no
419,YBM Travels(BLM) ,A/C Sleeper (2+1),BLR,CHN,07:00,13:35,06,800,4.3,A/C,no,no,yes
