,Bus_Name,Bus_type,from,to,pickup_time,drop_time,duration,prices,ratings,AC_type,Seater,semi_sleeper,sleeper
421,Yolo Bus ,A/C Sleeper (2+1),BLR,CHN,23:45,06:13,6,699,4.4,A/C,no,no,yes
422,SPT Tours and Travels ,A/C Sleeper (2+1),BLR,CHN,21:45,04:45,7,630,4.3,A/C,no,no,yes
423,SPS Travels ,A/C Sleeper (2+1),BLR,CHN,22:45,05:35,6,700,4.5,A/C,no,no,yes
424,DLT BUS ,A/C Sleeper (2+1),BLR,CHN,22:30,05:00,6,749,4.3,A/C,no,no,yes
425,YBM Travels(BLM) ,A/C Sleeper (2+1),BLR,CHN,22:30,04:35,6,800,4.2,A/C,no,no,yes
426,Go Link ,A/C Sleeper (2+1),BLR,CHN,22:00,04:00,6,800,4.2,A/C,no,no,yes
427,RKK Travels ,Volvo A/C Sleeper (2+1),BLR,CHN,23:30,06:00,6,795,4.2,A/C,no,no,yes
428,Sri Sugam Bus Tours and Travels ,A/C Sleeper (2+1),BLR,CHN,22:30,04:55,6,699,4.2,A/C,no,no,yes
429,GreenLine Travels And  Holidays ,A/C Sleeper (2+1),BLR,CHN,20:30,03:00,6,820,4.2,A/C,no,no,yes
430,KMRL Kalaimakal ,A/C Sleeper (2+1),BLR,CHN,13:30,20:30,7,750,4.2,A/C,no,no,yes
431,KGN INDIA ,NON A/C Sleeper (2+1),BLR,CHN,23:05,05:50,6,430,4.1,NON A/C,no,no,yes
